shopName,productName,price,oldPrice,discount,weight,zip,available,details,ingredients,productLink,image,nutration,photos,retrive_date
The Wine Shop,Discovery White Wine Variety Trio,$45.99,N/A,N/A,750 ml,Delivery to 94105,N/A,"Explore award-winning takes on beloved white varietals with this flavorful 3-pack. Featuring wines from regions in Italy, France, and California, this selection includes fresh Sauvignon Blanc, smooth Chardonnay, and crisp Pinot Grigio. These whites are wonderful complements to seafood, chicken and pork, and veggie-based dishes. F09305	2020 Maison Gourmand Cotes du Gascogne Sauvignon Blanc Sip and savor silver medal winning flavor with 2020 Maison Gourmand Sauvignon Blanc. Uniquely fermented in stainless steel tanks, this wine is then aged on fine lees for several months allowing it to develop in flavor and rounded structure. This carefully crafted Sauvignon Blanc exhibits a beautiful emerald color along with notes of exotic fruit and delicate white flowers. Persistent citrus on the palate offers cheek pinching zest you won’t soon forget, especially when this white’s enjoyed chilled. 	 Yvon Mau. France. 12% ABV	 N01380	2020 Cannery Row Cellars Chardonnay Uncork a bottle and enjoy every sip of silver medal winning flavor with California’s Cannery Row Chardonnay. This bouncy and fresh white balances fruit notes of rich, custard-style lemon flavor, nectarine, and white flowers with oaky butterscotch and caramel. This is a great cocktail wine because it doesn't need food, but it also pairs beautifully with seafood and the lighter side of chicken and pork dishes. Cannery Row Cellars. California. 13% ABV F09315	2020 Ammannati Pinot Grigio I.G.T.  Enjoy Sicilian silver medal winning flavor with 2020 Ammannati Pinot Grigio I.G.T., a crisp classic Pinot Grigio. The precise selection of grapes makes for this wine’s golden yellow color and distinctive aromas of exotic fruits. Savor bright and fresh pineapple and grapefruit as they elegantly grace your nose. Lovely as a chilled aperitif, this delightful white wine also pairs perfectly with chicken or fish. Hemispheres. Italy. 12% ABV",,https://www.instacart.comhttps://www.instacart.com/store/items/item_114369867697,https://www.instacart.com/assets/domains/product-image/file/large_1cf36686-adb5-409c-b50f-cd503c9ab45d.jpg,N/A,"['https://www.instacart.com/assets/domains/product-image/file/large_1cf36686-adb5-409c-b50f-cd503c9ab45d.jpg', 'https://www.instacart.com/assets/domains/product-image/file/large_2d4e6e09-2577-4baf-95aa-fb333ea2e2e0.jpg']",2022-08-19 22:32:18.858110
The Wine Shop,Date Night Wine Variety Trio,$49.99,N/A,N/A,750 ml,Delivery to 94105,N/A,"While planning a special evening, you’ll want the perfect wines on hand to share with your partner. Including award-winning bottles, this 3-pack is sure to impress! You’ll uncork a beautiful Bordeaux red blend, a savory Cabernet Sauvignon, and a fruity sparkling rosé—all wonderful sipped on their own or paired with meals like pan-seared steak, grilled halibut, fried chicken, and more.   F09304	2020 Beau Palais Bordeaux Rouge  Uncork Beau Palais Bordeaux Rouge an elegant gold medal-winning red blend that could only come from the prestigious wine region of Bordeaux. Composed of Merlot and Cabernet Sauvignon, this wine has a deep red color that is bound to entice once poured. On the nose, there are intense notes of red fruit that carry into the palate. Along with its fruity flavor, the palate is supple with strong tannins that shape its character.This wine is the ideal accompaniment to hardy and comforting meals that center around meats such as game, lamb, or beef. Hemispheres. France. 13% ABV F09309	2020 Casa De La Luna Reserva de Selección Cabernet Sauvignon Experience 2020 Casa De La Luna Reserva de Selección Cabernet Sauvignon, a juicy gold medal winning Cab from Chile’s renowned Maule Valley. Enjoy a complex nose of spice, red currant, and earthy tobacco leaf. The palate unfolds with bell pepper-flecked ripe plums, cherry, hints of charcoal, and nicely toasted spices, then finished with a subtle, sweet-candy flavor. A wonderful match for flame-grilled cowboy steaks or a meaty bowl of pasta Bolognese. Hemispheres. Chile. 13% ABV N01293	George Phillips Cellars Signature Reserve No. 1764 Sparkling Brut Rosé Uncork award-winning George Phillips Cellars Signature Reserve No. 1764 Sparkling Brut Rosé and take in juicy notes of raspberry and red fruits with splashes of bright citrus. Floral on the nose, this wine offers pronounced fruitiness on the palate, lifted by fine bubbles. The finish is crisp, smooth, and refreshing. George Phillips Cellars Signature Reserve No. 1764 Sparkling Brut Rosé is delightful on its own and when served with white meats and a variety of vegetables. It’s the ideal companion to brunch dishes, too. Serve chilled. George Phillips Cellars. California. 11.5% ABV",,https://www.instacart.comhttps://www.instacart.com/store/items/item_114369867801,https://www.instacart.com/assets/domains/product-image/file/large_671b2578-5e10-486a-8b6a-350337a8fde3.jpg,N/A,"['https://www.instacart.com/assets/domains/product-image/file/large_671b2578-5e10-486a-8b6a-350337a8fde3.jpg', 'https://www.instacart.com/assets/domains/product-image/file/large_f3315e7e-3cc6-4802-9bed-7b0548f7b56c.jpg']",2022-08-19 22:32:58.430168
The Wine Shop,French Rose Favorites Trio,$49.99,N/A,N/A,750 ml,Delivery to 94105,N/A,"Enjoy warm weather occasions while sipping on fabulous, fruity Rosé! This 3-pack features elegant, award-winning takes on the beloved pink drink from vineyards across France. These wines are wonderful companions to grilled chicken, salads, veggie skewers, shellfish, and more. R10180	2020 Bruno Lafon Grenache Rosé Discover 2020 Bruno Lafon Grenache Rosé, a fresh rosé awarded 94-point Platinum at the 2021 Sommelier Challenge International Wine Competition. This Grenache-driven rosé displays a fruity-floral bouquet, led by citrus fruits and white flowers. Beautifully textured with layers of flavor, its palate offers juicy notes of strawberry and nectarine with yeasty hints of baker’s dough. Enjoy with seafood and shellfish, salads, and light pasta dishes. Bruno Lafon. France. 12.5% ABV R10227	2020 Bernard Magrez Rosé Experience French finesse with multiple award-winning 2020 Bernard Magrez Rosé. Pale pink in color with a lighthearted feel, this rosé is a pleasure to drink. Delicate flavors of raspberry and red fruit join tart notes of gooseberry for a refreshing finish. Made from Grenache grapes, it is dry with moderately high acidity. Enjoy 2020 Bernard Magrez Rosé chilled with crisp vegetable salads as well as grilled fish, chicken, or pork.  Bernard Magrez. France. 12.5% ABV R10221	2020 Le Bosq Vin Rosé A bright and balanced French rosé, 2020 Le Bosq Vin Rosé is the latest gold medal winning vintage in a line of award-winning, customer favorite wines. Enjoy red fruit flavors with hints of grenadine. Raspberry and cranberry notes carry into the palate, which strikes just the right balance between fresh acidity and round structure, leaving a clean finish. Serve with cheese plates, salads, lobster rolls, pizza, and grilled burgers. Le Bosq. France. 12% ABV",,https://www.instacart.comhttps://www.instacart.com/store/items/item_114369874831,https://www.instacart.com/assets/domains/product-image/file/large_7c3d0dcb-c17d-40b9-99f2-dd82b68e6153.jpg,N/A,"['https://www.instacart.com/assets/domains/product-image/file/large_7c3d0dcb-c17d-40b9-99f2-dd82b68e6153.jpg', 'https://www.instacart.com/assets/domains/product-image/file/large_9e63a396-6461-4f04-9dc4-3046761a1f50.jpg']",2022-08-19 22:33:43.374259
The Wine Shop,Flavor-Rich California Red Blends Trio,$45.99,N/A,N/A,750 ml,Delivery to 94105,N/A,"Discover robust, fruit-driven reds with layers of complexity in this 3-pack, demonstrating how combining different grapes can lead to delicious results. Fans of California red wines are sure to enjoy these award-winning blends, which pair splendidly to barbecued meats and veggies, hearty pasta, nachos and pizza, and much more. N01340	2020 MYTH Red Blend This award-winning 2018 MYTH Red Blend is a big, flavorful wine with bold dark fruit aromas of fresh black cherry and rhubarb. This red unfolds to dizzying notes of vanilla and mocha. Made from an exciting blend of beloved California grapes, this red blend shows round tannins and a medium body. Uncork this red blend as you enjoy a delicate pork dish at home or bring it with you to a barbecue of sweetly glazed meats. First Crush Vineyards. California. 13% ABV N01366	2018 Jenna Red Blend From a winery well-known in northern California for its well-balanced flavors and vinicultural tradition comes the gold medal winning 2018 Jenna Red Blend. This red blend is fruit-forward with prominent notes of dark fruit. The first sniff will greet you with subtle notes of raspberry. As the wine moves to the tongue, further fruity notes of strawberry and blackberry will be accentuated by the wine's supple tannins and moderate acidity. Jenna Wines. California. 13.5% ABV N01302	Bayshore Vintners Red Blend Enjoy a succulent silver medal winning blend of six grapes including Merlot and Zinfandel.  This medium to full-bodied wine makes a bold statement from first whiff, with aromas of ripe red and dark fruit bursting forth. A juicy palate displays black cherries, blueberries, and brambly blackberry underscored with pepper. Sweet vanilla meets subtle hints of chocolate on the finish, which is wonderfully smooth.  Bayshore Vintners. California. 13.9% ABV",,https://www.instacart.comhttps://www.instacart.com/store/items/item_114369871210,https://www.instacart.com/assets/domains/product-image/file/large_b5e3242b-84f1-4f67-ad72-ecb0e6e90d10.jpg,N/A,"['https://www.instacart.com/assets/domains/product-image/file/large_b5e3242b-84f1-4f67-ad72-ecb0e6e90d10.jpg', 'https://www.instacart.com/assets/domains/product-image/file/large_5877ccf6-5538-4eb6-b421-3615e6271add.jpg']",2022-08-19 22:34:49.965956
The Wine Shop,Sauvignon Blanc Favorites Trio,$45.99,N/A,N/A,750 ml,Delivery to 94105,N/A,"Fresh, herbaceous, and thirst-quenching, Sauvignon Blanc is a crowd-pleasing choice for a white wine. Enjoy award-winning takes on the popular varietal from Chile, California, and France with this 3-pack. These wines are just as tasty sipped on their own as they are paired to light seasonal dishes.   R10209	2020 De La Rougerie Sauvignon Blanc From the South of France, 2020 De La Rougerie Sauvignon Blanc is a crisp and approachable white wine with gold medal winning merit. Vibrant and full of flavor, this wine expresses citrus notes accompanied by green apple and subtle hints of exotic fruits. Influences from the region’s terroir impart minerality and floral touches on the palate, which leaves a deliciously thirst-quenching finish. Enjoy it on its own or alongside soft cheeses, baked fish, grilled zucchini, fried chicken, and pea soup. Benoit Valerie Calvet. France. 11.5% ABV N01346	2020 George Phillips Cellars Reserve Selection No. 043 Sauvignon Blanc Experience refreshing California craftsman ship when you uncork a bottle of gold medal winning George Phillips Cellars Reserve Selection No. 043 Sauvignon Blanc. This satisfying white wine has a rich flavor with aromatic ripe fruits. Enjoy robust notes of citrus and herbs with a fresh creaminess. There is bright acidity yet a traditional dry feel on the palate. Perfect pairings include buttery seafood, creamy pasta, and spice-filled cheeses. George Phillips Cellars. California. 13% ABV R10086	2020 Tripantu Sauvignon Blanc Reserve Maule Valley Enjoy a brilliant display of Chilean winemaking in 2020 Tripantu Sauvignon Blanc Reserve Maule Valley. This wine garnered 94-point platinum status at the 2021 Monterey International Wine Competition. A unique combination of currant, asparagus, and orange blossom flavor notes create an exciting tasting experience for white wine enthusiasts. Medium-bodied and balanced, this Sauvignon Blanc has crisp acidity transitioning to a short but refreshing finish.  Explore with ideal pairings like fish, oysters, and salads. Terraustral Wines. Chile. 13.5% ABV",,https://www.instacart.comhttps://www.instacart.com/store/items/item_114369869943,https://www.instacart.com/assets/domains/product-image/file/large_e0e471f8-f71e-4b4b-97fc-de648c1911a0.jpg,N/A,"['https://www.instacart.com/assets/domains/product-image/file/large_e0e471f8-f71e-4b4b-97fc-de648c1911a0.jpg', 'https://www.instacart.com/assets/domains/product-image/file/large_43154bb3-14a0-409f-bc9f-2cb72cf45ddb.jpg']",2022-08-19 22:35:25.929146
The Wine Shop,Bold Red Wine California Selections Trio,$45.99,N/A,N/A,750 ml,Delivery to 94105,N/A,"Discover rich, fruit-forward flavor from vineyards across the Golden State. This 3-pack offers delicious, uniquely Californian takes on popular reds, including jammy Zinfandel, spicy Syrah, and luscious Merlot. These selections pair perfectly with grilled foods, pizza and pasta, pork carnitas, and hearty dishes. 2018 Pioneer Town Shiraz Sip the spirit of discovery with award-winning 2018 Pioneer Town Shiraz, an easy-drinking, fruity, and spicy California red. Uncork this dry, medium-bodied Shiraz and get ready to embark on a delicious journey. The weather in San Joaquin Valley, California is hot which causes the Shiraz grapes to ripen fully with lower amounts of tannin and very ripe fruit flavors. Blackberries, cassis, and a little hint of spice can be found as the wine unravels on your palate. This Shiraz’s dark fruity flavors pair well with grilled meats and vegetables; think country barbecue. 13.5% ABV 2018 Fair Oaks Ranch Zinfandel The latest vintage of Fair Oaks’ platinum medal-winning Zinfandel is packed with rich berry jam flavors and hints of black pepper and anise. A nice touch of acidity creates a clean, food-friendly finish.  Originating from Europe where it is known by other names, such as Primitivo in Italy and Tribidrag in Croatia, Zinfandel thrives in warm, sunny climates. Expect a jammy, black-fruited quality to this wine, which also shows off a spicy tobacco finish.  We love to recommend Zinfandel for a barbecue—its boldness is often a match for grilled foods, but it’s also smooth enough to enjoy on its own.  14.5% ABV 2018 Sierra Trails Merlot 2018 Sierra Trails Merlot hails from the wine-famous regions of California, in a region with conditions that were seemingly created for the sole purpose of creating wine. This Merlot's fruity flavors are intense, but not overwhelming. Its aromas are of cherry, blackberry, and vanilla. Its body is moderate with supple tannins and moderate acidity. Pair it with a meaty pizza or sautéed veggies.	 13% ABV",,https://www.instacart.comhttps://www.instacart.com/store/items/item_114371180026,https://www.instacart.com/assets/domains/product-image/file/large_8edb2c11-6a19-42f4-903a-85841c93384a.jpg,N/A,"['https://www.instacart.com/assets/domains/product-image/file/large_8edb2c11-6a19-42f4-903a-85841c93384a.jpg', 'https://www.instacart.com/assets/domains/product-image/file/large_eef46754-4436-4bf6-b1cc-8c31196a5554.jpg']",2022-08-19 22:35:59.834648
The Wine Shop,Classic California Chardonnay Pack,$45.99,N/A,N/A,750 ml,Delivery to 94105,N/A,"Smooth, easy-drinking Chardonnay is a Golden State specialty! This tasty 3-pack offers award-winning takes on the classic white varietal, ranging from crisp and refreshing to oaked and creamy. Delicious on their own, these wines pair well to chicken, seafood, and veggie-centric dishes.    N01381	2020 Bayshore Vintners Chardonnay Enjoy a celebration of California’s most-planted white grape in 2020 Bayshore Vintners Chardonnay. Fresh and fruity, this white wine carries flavorful notes of ripe golden apple and pear with refreshing hints of citrus. The finish is crisp yet smooth and wonderfully easy-drinking. 2020 Bayshore Vintners Chardonnay is perfect for any celebration and complements soft cheeses, seafood, vegetable risotto, and lightly-herbed chicken or pork. Bayshore Vintners. California. 13% ABV N01385	2020 Windsor Hills Barrel Fermented ChardonnayGet lost in the tropical landscapes of this gold medal winning 2020 Windsor Hill Chardonnay, as citrus and vanilla tasting notes melt onto your palate. Barrel fermented for an extra velvety texture, this rich Chardonnay has a soft, balanced mouthfeel and hints of a caramel aftertaste. The next time you bring out the pork tenderloin and potatoes, make sure you grab the 2020 Windsor Hill Chardonnay as well. Saddlehorn Cellars. California. 13.5% ABV N01374 	2019 Stone & Glass Chardonnay Inspired by a famous beach in California that's littered with smooth, sparkling sea glass, Stone & Glass is a rich silver medal winning Chardonnay that offers up enticing flavors and aromas of golden apple and pear. Its crisp texture and long, complex finish will delight with soft cheese or grilled fish. Jenna Wines. California. 13% ABV",,https://www.instacart.comhttps://www.instacart.com/store/items/item_114369874390,https://www.instacart.com/assets/domains/product-image/file/large_5313e265-3c88-496f-b09c-502e4bc55203.jpg,N/A,"['https://www.instacart.com/assets/domains/product-image/file/large_5313e265-3c88-496f-b09c-502e4bc55203.jpg', 'https://www.instacart.com/assets/domains/product-image/file/large_27974271-cdb1-47ad-95bb-6b9eea7bff91.jpg']",2022-08-19 22:36:55.957220
The Wine Shop,Date Night Wine Variety Pack,$75.99,N/A,N/A,750 ml,Delivery to 94105,N/A,"While planning a special evening, you’ll want the perfect wines on hand to share with your partner. Including award-winning bottles, this 6-pack is sure to impress! Uncork savory reds (like Bordeaux blends and Cabernet Sauvignon) and easy-sipping whites (like smooth Chardonnay and fruity sparkling rosé). These wines are wonderful sipped on their own or paired with meals.    F09304	2020 Beau Palais Bordeaux Rouge  Uncork Beau Palais Bordeaux Rouge an elegant gold medal-winning red blend that could only come from the prestigious wine region of Bordeaux. Composed of Merlot and Cabernet Sauvignon, this wine has a deep red color that is bound to entice once poured. On the nose, there are intense notes of red fruit that carry into the palate. Along with its fruity flavor, the palate is supple with strong tannins that shape its character.This wine is the ideal accompaniment to hardy and comforting meals that center around meats such as game, lamb, or beef. Hemispheres. France. 13% ABV F09309	2020 Casa De La Luna Reserva de Selección Cabernet Sauvignon Experience 2020 Casa De La Luna Reserva de Selección Cabernet Sauvignon, a juicy gold medal winning Cab from Chile’s renowned Maule Valley. Enjoy a complex nose of spice, red currant, and earthy tobacco leaf. The palate unfolds with bell pepper-flecked ripe plums, cherry, hints of charcoal, and nicely toasted spices, then finished with a subtle, sweet-candy flavor. A wonderful match for flame-grilled cowboy steaks or a meaty bowl of pasta Bolognese. Hemispheres. Chile. 13% ABV N01365	2018 Jenna Pinot Noir Discover award winning excellence in 2018 Jenna Pinot Noir a refreshingly aromatic red wine with fruit notes that mingled with hints of spice and earth in enticing layers of complexity. Wild strawberries and brambly berries are underscored with dried flowers, herbs, and a touch of allspice. The palate is structured, dry, and medium-bodied, offering a round and luscious mouthfeel. This varietal plays well with many foods, and 2018 Jenna Pinot Noir is a great choice to uncork with grilled or roasted chicken, seared salmon and tuna, and charcuterie. Jenna Wines. California. 13.8% ABV F09302	2020 Beau Palais Bordeaux Blanc Like a morning spent in the subregion or Bordeaux, France, this white feels sunkissed and brimming with freshness. Made from 100% Sauvignon Blanc grapes, this award-winng Bordeaux Blanc was crafted in Entre-deux-Mers. Gorgeous in the glass, this wine pours to display a lovely pale gold hue and delicate aromas of citrus and peaches. The palate unfolds with ripe fruit notes and minerality. The finish is a beautiful citrus ideal with tapas, fish, and white meats. Hemispheres. France. 12.5% ABV F09298	2019 Flores Chardonnay  Enjoy an exciting New World take on the world’s most popular white varietal with 2019 Flores Reserva Chardonnay, a silver medal-winning medium-bodied white wine from Chile. This lovely Chardonnay opens with an aromatic bouquet of pineapple, banana, and toasted almond. The palate is balanced with fruity yet smooth flavor notes that leave a long and creamy aftertaste. Enjoy alongside seafood and shellfish, as well as creamy dishes like rich pasta, potato salad, and corn chowder.		 Cremaschi Furlotti. Chile. 13.5% ABV	 N01293	George Phillips Cellars Signature Reserve No. 1764 Sparkling Brut Rosé Uncork award-winning George Phillips Cellars Signature Reserve No. 1764 Sparkling Brut Rosé and take in juicy notes of raspberry and red fruits with splashes of bright citrus. Floral on the nose, this wine offers pronounced fruitiness on the palate, lifted by fine bubbles. The finish is crisp, smooth, and refreshing. George Phillips Cellars Signature Reserve No. 1764 Sparkling Brut Rosé is delightful on its own and when served with white meats and a variety of vegetables. It’s the ideal companion to brunch dishes, too. Serve chilled. George Phillips Cellars. California. 11.5% ABV",,https://www.instacart.comhttps://www.instacart.com/store/items/item_114369870096,https://www.instacart.com/assets/domains/product-image/file/large_b382f0e3-d580-45b0-903b-8f4edf9f9b05.jpg,N/A,"['https://www.instacart.com/assets/domains/product-image/file/large_b382f0e3-d580-45b0-903b-8f4edf9f9b05.jpg', 'https://www.instacart.com/assets/domains/product-image/file/large_52aa68bf-6af9-4ee2-bd51-97fd7c9ea424.jpg']",2022-08-19 22:37:28.168626
The Wine Shop,Summer Sun Moscato Trio,$49.99,N/A,N/A,750 ml,Delivery to 94105,N/A,"Make the season a sweet one with this 3-pack of off-dry wines from Italy and California. You’ll uncork delightful, easy-drinking takes on Moscato that are delicious on their own or with light desserts such as cheesecake, berry tarts, and fresh fruit. N01371	2020 Snickerdoodle Moscato Discover the pride of California wineries in this mouthwatering Moscato with silver medal winning merit. This thirst-quenching Moscato carries deep aromas of peach, jasmine, and rose petals. Its smooth tannins will help guide its robust flavors and aromas, allowing for a full appreciation of its intense flavors. Enjoy with a light salad, fruit, or just on its own! Free Flight Cellars. California. 12.5% ABV R10399	Abbazia ""La Tartaruga"" Moscato Pavia I.G.T. European mountain air and Mediterranean ocean breezes combine on the Abbazia family winery, where this tasty Moscato heralds from. This wine is a sweet treat for anyone, floating delectable flavors of honey and peach over the light body and satin texture of the wine. The Abbazia Moscato Pavia is a drink for indulging your sweet tooth. Drink this wine all on its own, or pair with a light dessert. Abbazia Winery. Italy. 6% ABV R10398	Abbazia Asti Spumante D.O.C.G. Discover a light and distinctive Italian wine produced in Piedmont, the same region that produces coveted truffles, cheeses and meats. This multiple award winning moscato-based sparkling wine carries a D.O.C.G. rating, the highest level of wine certification from the Italian National Government, ensuring that this wine is of the utmost quality. Enjoy with pairings including sponge cake, soufflés, fruit salads, and strudels. Abbazia Winery. Italy. 7.5% ABV",,https://www.instacart.comhttps://www.instacart.com/store/items/item_114370621431,https://www.instacart.com/assets/domains/product-image/file/large_426841c4-d894-40c9-95e5-57bde30bdfd6.jpg,N/A,"['https://www.instacart.com/assets/domains/product-image/file/large_426841c4-d894-40c9-95e5-57bde30bdfd6.jpg', 'https://www.instacart.com/assets/domains/product-image/file/large_8caf9c9a-5098-4cf2-9da6-ce88ccd0052e.jpg']",2022-08-19 22:38:56.765573
The Wine Shop,Discovery Red Wine Variety Pack,$45.99,N/A,N/A,750 ml,Delivery to 94105,N/A,"Explore award-winning takes on beloved red varietals with this flavorful 3-pack. Featuring wines from regions in California and Argentina, this selection includes savory Cabernet Sauvignon, rich Malbec, and bright Pinot Noir. These reds are wonderful complements to aged cheeses, grilled meats, roasted vegetables, and more.   F09312	2020 Casa de Pinaculo Malbec Pour and enjoy silver medal winning flavor with 2020 Casa de Pinaculo Malbec from one of Argentina’s most celebrated wine regions. Once poured, admire the wine’s dark black color and bright violet hues. Take a sip for aromas of strawberries, cherries, and vanilla with balanced acidity and silky tannins. This wine is delicious when served with a seared rib-eye fresh from the grill or a roasted leg of lamb. Hemispheres. Argentina. 13.8% ABV N01278	2018 Pioneer Town Cabernet Sauvignon Sip the spirit of discovery with 2018 Pioneer Town Cabernet Sauvignon, a classic silver medal winning California Cab. Uncork this dry, full-bodied red and get ready to embark on a deliciously rewarding journey. You’ll pick up concentrated flavors of blackberry and black currant, which meet hints of cedar and mocha, representing the wine’s oak-aging. Serve this Cab with porterhouse steak, lamb stew, braised short ribs, grilled portobello burgers, and aged cheddar or gouda cheeses. Hemispheres. California. 12.4% ABV N01287	2018 Bayshore Vintners Pinot Noir Experience 2018 Bayshore Vintners Pinot Noir, a gold medal winning California Pinot with ripe fruit flavor and smooth delivery. Red fruits abound in this light-bodied red wine displaying lively aromatics. Strawberry and cherry notes carry into the palate, which offers bright acidity with touches of dried herbs. Hints of allspice and vanilla from oak aging round out this easy-drinking Pinot Noir, which is quite versatile with foods. It pairs beautifully with main courses consisting of roasted chicken, mushroom risotto, and pan-fried sea bass. Bayshore Vintners. California. 13.9% ABV",,https://www.instacart.comhttps://www.instacart.com/store/items/item_120375647194,https://www.instacart.com/assets/domains/product-image/file/large_96997628-4b38-44f9-8749-26a3ad22730a.jpg,N/A,"['https://www.instacart.com/assets/domains/product-image/file/large_96997628-4b38-44f9-8749-26a3ad22730a.jpg', 'https://www.instacart.com/assets/domains/product-image/file/large_66f8fb00-c637-4273-b0dd-37e8fbcffe8a.jpg']",2022-08-19 22:39:55.225518
